id,naics,num_employees,lat,lon
223138,31111101,250,39.524067,-88.3536
232099,31111101,50,40.906456,-90.653435
19685,31111901,2,42.334824,-88.877991
68379,31111901,3,41.889545,-87.624458
148795,31111901,54,39.09869,-88.55584
182705,31111901,7,42.419827,-88.618729
292803,31111901,4,39.005653,-87.761215
306569,31111901,3,42.042301,-88.04158
329416,31111901,3,39.550018,-89.290985
127628,31111902,25,40.990269,-88.663071
277078,31111902,3,39.787605,-91.270096
1371,31111903,2,41.23455,-90.731651
13701,31111903,7,42.190277,-87.855446
17070,31111903,10,39.999695,-90.411156
114369,31111903,13,41.712231,-87.557922
127619,31111903,16,41.744747,-90.289879
132622,31111903,10,40.146381,-87.586021
151961,31111903,7,42.076012,-88.330902
154345,31111903,7,42.014088,-87.970665
163878,31111903,15,38.670319,-88.465103
167958,31111903,400,42.301342,-89.620636
181575,31111903,20,42.135281,-88.50367
183589,31111903,13,40.297295,-90.066727
185648,31111903,16,38.741302,-89.692017
185676,31111903,45,38.746204,-89.686508
185680,31111903,75,38.744236,-89.688515
186870,31111903,7,42.160549,-87.788445
189789,31111903,22,41.777161,-87.843163
191507,31111903,5,42.064789,-89.095352
195703,31111903,1,42.386246,-88.230843
198793,31111903,14,41.488773,-88.115059
202387,31111903,9,41.326824,-89.102623
206164,31111903,13,42.10368,-89.834999
227517,31111903,5,39.8237,-90.561096
245091,31111903,15,38.376892,-89.375
273657,31111903,3,39.598701,-87.689697
273835,31111903,20,39.668602,-87.615273
277890,31111903,9,40.549965,-89.670174
285328,31111903,7,39.604969,-90.830772
287143,31111903,7,39.4347,-90.857697
289443,31111903,3,39.948364,-91.364822
290566,31111903,300,39.944504,-91.365356
293700,31111903,23,41.780205,-89.688873
299521,31111903,11,42.178223,-89.085106
309830,31111903,4,41.303848,-88.609497
309856,31111903,29,41.309124,-88.600174
326382,31111903,4,39.351063,-88.619865
329779,31111903,70,39.130013,-88.481789
334214,31111903,6,38.9771,-89.111534
17144,31121101,4,41.777802,-87.818993
17145,31121101,4,41.77005,-87.820396
219019,31121101,4,40.564766,-89.728035
342198,31121101,4,41.853001,-87.887001
342460,31121101,400,41.84531,-87.905243
235302,31121102,16,39.079865,-89.717064
329780,31121102,125,39.131943,-88.474701
9109,31121106,5,41.868401,-89.217499
33987,31121106,23,40.548748,-90.510323
123407,31121106,1200,41.886536,-87.63073
134838,31121106,5,39.893383,-88.956184
135637,31121106,45,39.867252,-88.886078
135638,31121106,45,39.840904,-88.996025
146325,31121106,8,38.582096,-90.206009
148777,31121106,45,39.09869,-88.55584
153149,31121106,2,42.010002,-87.94857
169465,31121106,45,40.934303,-90.382095
192858,31121106,6,40.476688,-87.669052
192991,31121106,2,39.706665,-91.206299
200486,31121106,120,41.132164,-87.844498
218223,31121106,10,39.710098,-88.995598
245377,31121106,11,39.737099,-89.760033
246566,31121106,9,39.799225,-87.988365
246761,31121106,45,39.853786,-89.168159
257398,31121106,45,41.849831,-87.94799
269807,31121106,10,41.345638,-88.796928
269852,31121106,12,41.340694,-88.772659
269983,31121106,50,41.31739,-88.893394
290567,31121106,325,39.905598,-91.409302
293362,31121106,1,39.713207,-89.531708
327573,31121106,4,39.5965,-88.603172
340587,31121106,10,40.120903,-88.750031
340616,31121106,45,41.052177,-89.049759
132846,31122401,300,40.126457,-87.625389
34326,31122402,90,37.015553,-89.178635
204821,31122505,5,42.196903,-88.309708
107720,31122508,8,41.714817,-87.593117
327799,31122509,9,41.777802,-87.818993
4108,31122511,10,38.891422,-90.187012
112438,31122511,10,41.904999,-87.632797
147332,31122511,10,38.791504,-89.950729
174001,31122511,4,41.92271,-88.064972
236231,31122511,10,42.076572,-87.909142
249217,31122511,10,40.510925,-88.959129
288000,31122511,10,38.074905,-90.044029
321643,31122511,10,39.794544,-89.70549
29636,31122512,10,41.154316,-87.853905
160805,31122512,8,42.057423,-87.693298
44018,31122513,325,41.408138,-88.209145
139911,31122516,200,42.02412,-87.919456
283957,31122516,4,40.743759,-89.574394
352459,31122516,3,41.646072,-88.446312
20154,31123001,550,42.263866,-88.831345
122804,31123001,150,41.882198,-87.642899
122927,31123001,200,41.829651,-87.655014
123419,31123001,1500,41.88031,-87.641594
156989,31123001,200,41.919582,-87.942505
151407,31131301,4,41.997089,-88.390503
109829,31131401,9,41.839951,-87.685051
13183,31131403,30,41.754845,-88.240547
20491,31131403,5,41.969555,-87.953468
31128,31131403,40,41.819401,-87.858521
45401,31131403,1,41.940472,-87.652504
207568,31131403,10,41.702702,-88.007996
207623,31131403,30,41.702354,-88.010078
108684,31134001,8,41.907284,-87.656799
123286,31134001,500,41.907284,-87.656799
210417,31134001,3,42.184528,-87.94519
352818,31134001,400,41.679436,-88.442245
2310,31135101,10,42.175121,-88.341087
8514,31135101,16,42.130119,-87.98259
67335,31135101,3,41.889259,-87.643295
116294,31135101,16,41.917313,-87.793839
116301,31135101,16,41.822037,-87.616547
116317,31135101,16,41.935322,-87.686234
116370,31135101,16,41.905849,-87.648598
116392,31135101,16,41.892784,-87.627899
171148,31135101,11,41.882153,-88.337402
171294,31135101,30,41.88464,-88.30896
171304,31135101,30,41.887138,-88.30793
176460,31135101,16,42.096684,-87.852982
177071,31135101,10,37.368546,-88.546036
193541,31135101,12,42.168163,-88.426575
215947,31135101,10,42.178295,-87.9972
293418,31135101,10,39.74987,-89.535538
299471,31135101,10,42.268993,-89.090691
314869,31135101,10,42.072948,-88.180779
321739,31135101,10,39.758179,-89.7304
2946,31135201,40,41.682785,-87.741501
19537,31135201,9,41.88517,-87.867691
20888,31135201,80,41.974171,-87.955315
25673,31135201,7,40.457916,-88.977432
28116,31135201,11,41.663563,-88.132889
47368,31135201,1,41.885288,-87.635201
93750,31135201,5,41.850105,-87.672501
119334,31135201,30,41.943542,-87.711693
121605,31135201,60,41.843464,-87.675026
122878,31135201,175,41.930576,-87.730087
123331,31135201,600,41.875584,-87.638672
123340,31135201,650,41.75827,-87.741119
123342,31135201,650,41.75827,-87.741119
123343,31135201,650,41.75827,-87.741119
123344,31135201,650,41.75827,-87.741119
123345,31135201,650,41.75827,-87.741119
123347,31135201,650,41.75827,-87.741119
123348,31135201,650,41.75827,-87.741119
128879,31135201,4,41.639652,-87.725471
136874,31135201,27,42.151917,-87.845543
152715,31135201,110,42.008507,-88.313492
154739,31135201,20,42.007465,-87.948349
160262,31135201,4,42.034149,-87.678421
164652,31135201,20,41.872543,-87.80751
176286,31135201,9,42.088741,-87.79921
213670,31135201,10,41.60815,-88.045502
244855,31135201,140,41.744991,-88.157776
