id,naics,num_employees,lat,lon,size,GEOID
327573,31121106,4,39.5965,-88.603172,Small,17139
8947,31181102,4,39.680546,-88.481873,Small,17139
8886,31599017,2,39.716454,-88.472809,Small,17139
8934,32191806,4,39.728653,-88.509338,Small,17139
8980,32191806,6,39.731499,-88.528824,Small,17139
327656,32192008,25,39.667473,-88.564835,Medium,17139
8914,32311109,3,39.703991,-88.495667,Small,17139
327609,32311109,6,39.591675,-88.598236,Small,17139
327619,32311109,8,39.591675,-88.598236,Small,17139
8882,32311131,2,39.733288,-88.472816,Small,17139
327572,33151302,4,39.595936,-88.609924,Small,17139
327665,33242006,200,39.599777,-88.538376,Large,17139
327575,33271002,4,39.602119,-88.616974,Small,17139
327615,33311201,7,39.591167,-88.609344,Small,17139
327666,33311201,300,39.591602,-88.609756,Large,17139
327648,33361105,20,39.585274,-88.609245,Small,17139
327652,33399601,21,39.602032,-88.61882,Small,17139
8938,33711002,4,39.739918,-88.490387,Small,17139
8942,33711002,4,39.69574,-88.487892,Small,17139
8945,33711002,4,39.694927,-88.485992,Small,17139
8991,33711002,7,39.710403,-88.50621,Small,17139
216863,33711002,4,39.73875,-88.535591,Small,17139
327580,33711002,4,39.625851,-88.578125,Small,17139
327582,33711002,4,39.574989,-88.587433,Small,17139
9034,33711003,800,39.716789,-88.48024,Large,17139
327657,33711003,28,39.573174,-88.60836,Medium,17139
8936,33711006,4,39.697086,-88.473213,Small,17139
327667,33999936,300,39.59124,-88.609604,Large,17139
350333,31161202,6,41.179832,-90.31543,Small,17073
35063,31161302,1,41.303249,-90.166237,Small,17073
216899,31161302,15,41.297256,-90.361115,Small,17073
216902,31161302,30,41.295971,-90.358795,Medium,17073
22762,31181102,3,41.199783,-90.11908,Small,17073
200780,31181102,4,41.244343,-89.924232,Small,17073
200835,31181102,8,41.221172,-89.92218,Small,17073
169895,31212002,10,41.452972,-90.155426,Small,17073
127184,31213001,15,41.453472,-90.330711,Small,17073
127189,31213001,50,41.453472,-90.330711,Medium,17073
169670,31499921,1,41.448193,-90.154945,Small,17073
169530,32111302,2,41.253639,-90.081406,Small,17073
169659,32111302,1,41.428059,-90.122017,Small,17073
4774,32121402,12,41.393692,-89.903931,Small,17073
126358,32192008,100,41.457458,-90.393272,Large,17073
169554,32311109,4,41.167789,-90.042709,Small,17073
